sku,nome,categoria,preco
3259627,Notebook Lenovo IdeaPad 3 15ACH6 AMD R5 5600H 8GB 256GB SSD GTX 1650 4GB 15.6 F,Notebook,665
3081907,Notebook MSI 15 A11UDK-1099US i7 de 11a 8GB 512GB SSD RTX3050 Ti 4GB 15.6 FHD W,Notebook,1035.00
3139370,Notebook MSI A11MU-652US Intel i7-1195G7 8GB 1TB SSD 15.6 FHD W10,Notebook,700
2707518,Notebook MSI B10MW-486US i3 de 10a 8GB 128GB SSD 14.0 FHD W10,Notebook,380
2944517,Notebook MSI GF63 Thin 10SCXR-222US i5 de 10a 8GB 256GB SSD GTX1650 4GB 15.6 FH,Notebook,558
3180440,Notebook MSI GF63 Thin 10UC-439US i7-10750H 8GB 512GB SSD RTX3050 4GB 15.6 FHD,Notebook,895
2597591,Notebook MSI GF65 Thin 10UE-071US i7 de 10a 16GB 512GB SSD RTX3060 6GB 15.6 FHD,Notebook,1220.00
2597546,Notebook MSI GF65 Thin 10UE-092US i7 de 10a 8GB 512GB SSD RTX3060 6GB 15.6 FHD,Notebook,1175.00
3139363,Notebook MSI GF66 11UE-260US i7-11800H 16GB 512GB SSD RTX3060 6GB 15.6 FHD W10,Notebook,1055.00
3058138,Notebook MSI Modern 14-B10MW-641US i3-10110U 4GB 128GB SSD 14.0 FHD W10 Pro,Notebook,328
3033241,Notebook MSI Modern 15 A11M-004US i7 de 11a 16GB 512GB SSD 15.6 FHD W10,Notebook,763
3293317,Notebook MSI Modern 15-A10M-499US Intel i5-10210U 8GB 512GB SSD 15.6 FHD W10,Notebook,558
2854151,Notebook Samsung Galaxy Book Pro NP930XDB-KD1US i7 de 11a 8GB 512GB 13.3 FHD W1,Notebook,795
2882604,Notebook Samsung Galaxy Book Pro NP950XDB-KB2US i5 de 11a 8GB 512GB 15.6 FHD W1,Notebook,812
3284896,Notebook Samsung Galaxy NP930XDB-KD2US i5-1135G7 8GB 256GB 13.3 FHD W10,Notebook,725
2911656,Mini PC Intel NUC10I3FNHN1 Intel i3 de 10a 2xDDR4 1x 2.5 M.2 HDMI WiFi Bluetoot,PC,336
3200223,Mini PC Intel NUC10i3FNHN5 i3-10110U 2x DDR4 M.2 HDMI WiFi Bluetooth USB,PC,329
3275894,Mini PC Intel NUC10I5FNHN i5-10210U 2x DDR4 M.2 HDMI WiFi Bluetooth USB,PC,429
3144633,Mini PC Intel NUC10I7FNHN1 i7-10710U 2x DDR4 M.2 HDMI WiFi Bluetooth USB,PC,640
3306215,Mini PC Intel NUC11TNH i3-1115G4 2x DDR4 M.2 HDMI WiFi Bluetooth USB,PC,345
3015537,Mini PC Intel NUC11TNHi3 i3-1115G4 2xDDR4 1x 2.5 M.2 HDMI WiFi Bluetooth SD,PC,360
2749679,Mini PC Intel NUC7CJYHN Celeron J4005 2xDDR4 1x 2.5 HDMI WiFi Bluetooth SD,PC,141
3052693,Mini PC Intel NUC8CCHKRN2 N3350U 4GB DDR4 64GB eMMC HDMI WiFi Bluetooth SD,PC,243
3127940,Mini PC Intel NUC9I5QNX i5-9300H 2x DDR4 3x M.2 1x PCIe HDMI WiFi Bluetooth USB,PC,497
3140215,Placa de VÃ­deo Afox GeForce GT1030 2GB GDDR5 HDMI DVI PCI-E (AF1030-2048D5L5-V2,Placa de Vi­deo,97.75
3140116,Placa de VÃ­deo Afox GeForce GT1030 2GB GDDR5 HDMI DVI PCI-E (AF1030-2048D5L7),Placa de Vi­deo,98.75
3140093,Placa de VÃ­deo Afox GeForce GT240 1GB DDR3 HDMI DVI VGA PCI-E (AF240-1024D3L2),Placa de Vi­deo,35.75
3140024,Placa de VÃ­deo Afox GeForce GT420 1GB DDR3 HDMI DVI VGA PCI-E (AF420-1024D3L5),Placa de Vi­deo,49.75
3139905,Placa de VÃ­deo Afox GeForce GT420 2GB DDR3 HDMI DVI VGA PCI-E (AF420-2048D3L2),Placa de Vi­deo,56.75
3139875,Placa de VÃ­deo Afox GeForce GT610 1GB DDR3 HDMI DVI VGA PCI-E (AF610-1024D4L5),Placa de Vi­deo,35.75
3140123,Placa de VÃ­deo Afox GeForce GT730 1GB DDR3 HDMI DVI VGA PCI-E (AF730-1024D3L3-V,Placa de Vi­deo,49.75
3140109,Placa de VÃ­deo Afox GeForce GT730 1GB DDR3 HDMI DVI VGA PCI-E (AF730-1024D3L7-V,Placa de Vi­deo,49.75
3140031,Placa de VÃ­deo Afox GeForce GT730 2GB DDR3 HDMI DVI VGA PCI-E (AF730-2048D3L3-V,Placa de Vi­deo,59.9
3140130,Placa de VÃ­deo Afox GeForce GT730 4GB GDDR5 HDMI DVI VGA PCI-E (AF730-4096D5L5),Placa de Vi­deo,128.75
3140055,Placa de VÃ­deo Afox GeForce GT740 2GB GDDR5 HDMI DVI VGA PCI-E (AF740-2048D5H3),Placa de Vi­deo,114.75
2436913,Placa de VÃ­deo Afox Radeon HD5450 1GB DDR3 HDMI DVI VGA PCI-E (AF5450-1024D3L9-,Placa de Vi­deo,31.75
3140017,Placa de VÃ­deo Afox Radeon HD5450 2GB DDR3 HDMI DVI VGA PCI-E (AF5450-2048D3L5-,Placa de Vi­deo,38.5
3140239,Placa de VÃ­deo Afox Radeon HD6450 2GB DDR3 HDMI DVI VGA PCI-E (AF6450-2048D3L9-,Placa de Vi­deo,40.75
3140086,Placa de VÃ­deo Afox Radeon R5 230 1GB DDR3 HDMI DVI VGA PCI-E (AFR5230-1024D3L9,Placa de Vi­deo,34.75
3140079,Placa de VÃ­deo Afox Radeon R5 230 2GB DDR3 HDMI DVI VGA PCI-E (AFR5230-2048D3L9,Placa de Vi­deo,39.75
3274972,Placa de VÃ­deo Afox Radeon R5-220 2GB DDR3 VGA DVI HDMI,Placa de Vi­deo,38.25
3256695,Placa de VÃ­deo AMD Radeon HD7670 1GB DDR5 VGA DVI HDMI,Placa de Vi­deo,39.7
3256718,Placa de VÃ­deo AMD Radeon R7-350 2GB DDR5 VGA DVI HDMI,Placa de Vi­deo,59.7
3141205,Placa de VÃ­deo Arktek GeForce GT420 Cyclops 2GB 128bit DDR3 HDMI DVI-D VGA (AKN,Placa de Vi­deo,51.75
3141243,Placa de VÃ­deo Arktek GeForce GT610 Cyclops 1GB 64bit DDR3 HDMI DVI-D VGA (AKN6,Placa de Vi­deo,35.75
